TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;IS_PRIMARY_KEY_NUM;TIPO;MANTENER;INDICE_REFERENCIA;BENEFICIO
ErroresMigracionNet;PK_ErroresMigracionNet;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Id;0.0;NO USO;1;PK Y UNIQUE;Unico;PK_ErroresMigracionNet;
ErroresMigracionNet;ID;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Id;0.0;NO USO;0;INDEX;Duplica PK_ErroresMigracionNet;PK_ErroresMigracionNet;Liberar 0.0MB, - 0.0 ops. de escritura
Mentor;aaaMentor_PK;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Rut_Mentor;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaMentor_PK;
Mentor;Rut_Mentor;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Rut_Mentor;0.0;NO USO;0;INDEX;Duplica aaaMentor_PK;aaaMentor_PK;Liberar 0.0MB, - 0.0 ops. de escritura
Sindicatos;aaSindicatos_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Sindicato;0.0;NO USO;1;PK Y UNIQUE;Unico;aaSindicatos_PK;
Sindicatos;Id_Sindicato;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Sindicato;0.0;NO USO;0;INDEX;Duplica aaSindicatos_PK;aaSindicatos_PK;Liberar 0.0MB, - 0.0 ops. de escritura
Suplencias;aaaaaSuplencias_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Funcionario;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaSuplencias_PK;
Suplencias;Id_Funcionario;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Funcionario;0.0;NO USO;0;INDEX;Duplica aaaaaSuplencias_PK;aaaaaSuplencias_PK;Liberar 0.0MB, - 0.0 ops. de escritura
Tipo_Horas_Proyecto;aaTipo_Horas_Proyecto_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Tipo_Horas_Proyecto;0.0;NO USO;1;PK Y UNIQUE;Unico;aaTipo_Horas_Proyecto_PK;
Tipo_Horas_Proyecto;Id_Tipo_Horas_Proyecto;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.0;0.0;Id_Tipo_Horas_Proyecto;0.0;NO USO;0;INDEX;Duplica aaTipo_Horas_Proyecto_PK;aaTipo_Horas_Proyecto_PK;Liberar 0.0MB, - 0.0 ops. de escritura
