Esquema;Tabla;Indice;Tipo;EsPK;EsUnique;Pages;Fragmentacion;PageFullness
dbo;EstFi_CtaPorPagar_Corp;PK_EstFi_CtaPorPagar_Corp;CLUSTERED;True;True;0;0.0;0.0
dbo;EstFi_CtaPorPagar_Nivel1_Corp;PK_EstFi_CtaPorPagar_Nivel1_Corp;CLUSTERED;True;True;1;0.0;22.213985668396344
dbo;EstFi_CtaPorPagar_Nivel2_Corp;PK_EstFi_CtaPorPagar_Nivel2_Corp;CLUSTERED;True;True;1;0.0;18.013343217197924
dbo;EstFi_CtaPorPagar_Nivel3_Corp;PK_EstFi_CtaPorPagar_Nivel3_Corp;CLUSTERED;True;True;1;0.0;64.22041018038053
dbo;EstFi_ER_EstadoResultado;PK_EstFi_ER_EstadoResultado;CLUSTERED;True;True;1;0.0;65.07289350135903
dbo;EstFi_ER_EstadoResultado_Corp;PK_EstFi_ER_EstadoResultado_Corp;CLUSTERED;True;True;1;0.0;49.64170990857425
dbo;EstFi_ER_Nivel1;PK_EstFi_ER_Nivel1;CLUSTERED;True;True;2;50.0;56.313318507536444
dbo;EstFi_ER_Nivel1_Corp;PK_EstFi_ER_Nivel1_Corp;CLUSTERED;True;True;1;0.0;35.55720286632073
dbo;EstFi_ER_Nivel2;PK_EstFi_ER_Nivel2;CLUSTERED;True;True;1;0.0;19.26118112181863
dbo;EstFi_ER_Tipo;PK_EstFi_ER_Tipo;CLUSTERED;True;True;1;0.0;18.754633061527056
dbo;EstFi_ER_Tipo_Corp;PK_EstFi_ER_Tipo_Corp;CLUSTERED;True;True;1;0.0;4.917222634049914
dbo;EstFi_EstFlujoEfec_Informe;PK_EstFi_EstFlujoEfec_Informe;CLUSTERED;True;True;7;85.71428571428571;77.23888065233507
dbo;EstFi_EstFlujoEfec_Nivel1;PK_EstFi_EstFlujoEfec_Nivel1;CLUSTERED;True;True;1;0.0;91.75932789720781
dbo;EstFi_EstFlujoEfec_Nivel2;PK_EstFi_EstFlujoEfec_Nivel2;CLUSTERED;True;True;2;50.0;61.1255250803064
dbo;EstFi_EstFlujoEfec_Tipo;PK_EstFi_EstFlujoEfec_Tipo;CLUSTERED;True;True;1;0.0;36.829750432419075
dbo;EstFi_EVfondos_Informe;PK_EstFi_EVfondos_Informe;CLUSTERED;True;True;0;0.0;0.0
dbo;EstFi_EVfondos_Nivel1;PK_EstFi_EVfondos_Nivel1;CLUSTERED;True;True;0;0.0;0.0
dbo;EstFi_EVfondos_Tipo;PK_EstFi_EVfondos_Tipo;CLUSTERED;True;True;0;0.0;0.0
dbo;EstFi_SIT_Nivel1;PK_EstFi_SIT_Nivel1;CLUSTERED;True;True;1;0.0;12.181863108475413
dbo;EstFi_SIT_PRESUPUESTARIA;PK_EstFi_SIT_PRESUPUESTARIA;CLUSTERED;True;True;4;75.0;74.09500864838152
dbo;EstFi_Tipo_CtaPorPagar_Corp;PK_EstFi_Tipo_CtaPorPagar_Corp;CLUSTERED;True;True;1;0.0;21.102050901902643
dbo;EstFi_TipoCtaBalanceGral;PK_TipoCtaBalanceGral;CLUSTERED;True;True;1;0.0;11.712379540400297
dbo;EstFi_TipoCtaBalanceGral_Corp;PK_TipoCtaBalanceGral_Corp;CLUSTERED;True;True;1;0.0;6.152705707931801
dbo;Facturas_Rechazadas;PK__Facturas__C8495CEAD70A912E;CLUSTERED;True;True;0;0.0;0.0
dbo;Ficha_Subvencion;PK_Ficha_Subvencion;CLUSTERED;True;True;0;0.0;0.0
dbo;Graficos_Cuentas;Ano;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Cuentas;Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Cuentas;Correlativo;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Cuentas;Grafico;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Cuentas;PK_Graficos_Cuentas;CLUSTERED;True;True;0;0.0;0.0
dbo;Graficos_Detalle;Ano;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Detalle;Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Detalle;Grafico;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Detalle;PK_Graficos_Detalle;CLUSTERED;True;True;0;0.0;0.0
dbo;Graficos_Tipos;Ano;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Tipos;Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Tipos;Grafico;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Graficos_Tipos;PK_Graficos_Tipos;CLUSTERED;True;True;0;0.0;0.0
dbo;Honorario_Certificado;Honorario_Certificado_Rut;NONCLUSTERED;False;False;20;95.0;58.35680751173708
