TABLA;INDICE;PAGES;FRAGMENTACION;PAGE_FULLNESS;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;USED-PAGES
FormatoCargaLicencia;NombreArchivo;1;0;0.852483320978503;0.0;0.0;0.0;0.0;0.0
FuncionariosDocentesConFeriados;aaaaaFuncionariosDocentesConFeriados_PK;1;0;0.210032122559921;0.0;0.0;0.0;0.0;0.0
FuncionarioSuplementaria;aaFuncionarioSuplementaria_PK;2255;0;80.0401037805782;0.0;0.0;0.0;0.0;0.0
FuncionarioSuplementaria_AEduca;aaFuncionarioSuplementaria_AEduca_PK;0;0;0;0.0;0.0;0.0;0.0;0.0
GrupoFamiliar;aaaaaGrupoFamiliar_PK;17;82.3529411764706;51.5051148999259;0.0;0.0;0.0;0.0;0.0
GrupoFamiliar;Id_Carga_Carga;9;88.8888888888889;57.2605263157895;0.0;0.0;0.0;0.0;0.0
GrupoFamiliar;Id_Establecimiento;15;73.3333333333333;47.8000247096615;0.0;0.0;0.0;0.0;0.0
GrupoFamiliar;Id_Funcionario;11;72.7272727272727;46.845033358043;0.0;0.0;0.0;0.0;0.0
Haberes;aaaaaHaberes_PK;1;0;70.0024709661478;0.0;0.0;0.0;0.0;0.0
Haberes;HaberModo;1;0;86.1625895725229;0.0;0.0;0.0;0.0;0.0
Haberes;Id_Haber;1;0;70.0024709661478;0.0;7.0;0.0;0.0;0.0
Haberes_Finiquito;aaHaberes_Finiquito_PK;1;0;74.6602421546825;0.0;0.0;0.0;0.0;0.0
Haberes_Finiquito;Id_Haber;1;0;74.6602421546825;0.0;466.0;0.0;0.0;0.0
Haberes_Sistema;aaaHaberes_Sistema_PK;1;0;15.7894736842105;0.0;19.0;0.0;0.0;2.0
Haberes_Sistema;Id_Haber;1;0;0.901902643933778;0.0;0.0;0.0;0.0;0.0
HaberesEncasillamiento;aaaHaberesEncasillamiento_PK;3;66.6666666666667;68.2522115147023;0.0;0.0;0.0;0.0;0.0
HaberesEncasillamiento;Id_Haber;1;0;27.7118853471707;0.0;0.0;0.0;0.0;0.0
HaberesINE;aaHaberesINE_PK;1;0;75.4633061527057;0.0;0.0;0.0;0.0;0.0
HaberesINE;Id_Componente_INE;1;0;92.8836174944403;0.0;0.0;0.0;0.0;0.0
HaberesINE;Id_Haber;1;0;75.4633061527057;0.0;471.0;0.0;0.0;0.0
Historial_Contratos;aaaaaHistorial_Contratos_PK;1031;0;80.6117000247097;0.0;2100.0;0.0;0.0;1641.0
Historial_Contratos;Fecha_Ingreso;834;0;80.6440696812454;0.0;0.0;0.0;0.0;1641.0
Historial_Contratos;Fecha_Inicio;840;0.595238095238095;80.0678650852483;0.0;3637.0;0.0;0.0;1641.0
Historial_Contratos;Fecha_Termino;680;1.91176470588235;98.9131826043983;0.0;178.0;0.0;0.0;1641.0
Historial_Contratos;Id_Correlativo;687;0.145560407569141;80.09966641957;0.0;0.0;0.0;0.0;1641.0
Historial_Contratos;Id_Establecimiento;803;0;80.6573140597974;0.0;0.0;0.0;0.0;1641.0
Historial_Contratos;Id_funcionario;608;0;80.451087225105;0.0;0.0;0.0;0.0;1641.0
