TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;LARGO_ATRIBUTOS;PESO_GRUPO
Feriados;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.179687;0.078125;0.062500;Id_Funcionario;0.0;NO USO;1;0.164062
HistoricoConstantes;aaHistoricoConstantes_PK;NONCLUSTERED;1;1;46.0;0.0;0.0;46.0;2026-06-04 09:13:42.247;;0.234375;0.132812;0.140625;Ano,Mes,Id_Constante;46.0;Beneficio Busqueda;3;0.15625
HistoricoConstantes;Rut;NONCLUSTERED;0;0;0.0;0.0;0.0;46.0;;;0.296875;0.15625;0.164062;Ano;0.0;SIN BUSQUEDAS;1;0.15625
PermisosPostNatalParental;aaaPermisosPostNatalParental_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.265625;0.15625;0.132812;Id_Correlativo,Rut;0.0;NO USO;2;0.15625
PermisosPostNatalParental;Id_Correlativo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.078125;0.03125;0.015625;Id_Correlativo;0.0;NO USO;1;0.15625
CargasRetroactivas;aaaaaCargasRetroactivas_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.210937;0.132812;0.187500;Id_Establecimiento,Id_Funcionario,Id_Carga_Retro;0.0;NO USO;3;0.132812
CargasRetroactivas;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.210937;0.109375;0.140625;Id_Establecimiento;0.0;NO USO;1;0.132812
FichaLeyesPrevisional;aaFichaLeyesPrev_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.257812;0.125;0.109375;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.125
FichaLeyesPrevisional;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.257812;0.117187;0.101562;Id_Establecimiento;0.0;NO USO;1;0.125
HistoricoAfp;aaHistoricoAfp_PK;NONCLUSTERED;1;1;19.0;0.0;0.0;19.0;2026-06-04 09:11:45.160;;0.187500;0.09375;0.085937;Id_Afp,Mes,Ano;19.0;Beneficio Busqueda;3;0.09375
HistoricoAfp;Id_Afp;NONCLUSTERED;0;0;0.0;0.0;0.0;19.0;;;0.125000;0.070312;0.062500;Id_Afp;0.0;SIN BUSQUEDAS;1;0.09375
HistoricoMovDctos;aaHistoricoMovDctos_PK;NONCLUSTERED;1;1;8.0;0.0;0.0;8.0;2026-06-04 09:11:44.783;;0.148437;0.09375;0.125000;Id_Establecimiento,Id_Funcionario,Mes,Ano,Tipo_Hd,Id_Hd;8.0;Beneficio Busqueda;6;0.09375
HistoricoMovDctos;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;8.0;;;0.164062;0.054687;0.070312;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;0.09375
CuentaBanco;aaaaaCuentaBanco_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.148437;0.078125;0.148437;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.078125
CuentaBanco;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.140625;0.078125;0.132812;Id_Establecimiento;0.0;NO USO;1;0.078125
RecaudacionPostNatalParental;aaaRecaudacionPostNatalParental_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.125000;0.078125;0.062500;Id_Correlativo,Id_CorrelativoPermiso,Rut;0.0;NO USO;3;0.078125
RecaudacionPostNatalParental;Id_Correlativo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.093750;0.039062;0.023437;Id_Correlativo;0.0;NO USO;1;0.078125
GrupoFamiliar;aaaaaGrupoFamiliar_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.140625;0.054687;0.132812;Id_Establecimiento,Id_Funcionario,Id_Carga_Carga;0.0;NO USO;3;0.070312
GrupoFamiliar;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.140625;0.070312;0.117187;Id_Establecimiento;0.0;NO USO;1;0.070312
HistoricoIsapres;aaHistoricoIsapres_PK;NONCLUSTERED;1;1;14.0;0.0;0.0;14.0;2026-06-04 09:11:45.323;;0.171875;0.0625;0.062500;Id_Isapre,Mes,Ano;14.0;Beneficio Busqueda;3;0.070312
HistoricoIsapres;Id_Isapre;NONCLUSTERED;0;0;0.0;0.0;0.0;14.0;;;0.179687;0.070312;0.046875;Id_Isapre;0.0;SIN BUSQUEDAS;1;0.070312
PlandeCuenta;aaaaaPlandeCuenta_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.148437;0.054687;0.085937;Ano_Proceso,Codigo_Area,CodigoCuenta;0.0;NO USO;3;0.054687
PlandeCuenta;Ano_Proceso;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.039062;0.039062;0.023437;Ano_Proceso;0.0;NO USO;1;0.054687
Dias_Feriados;aaaaaDias_Feriados_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.031250;0.03125;0.015625;Dia,Mes,Ano;0.0;NO USO;3;0.03125
Dias_Feriados;Dia;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.078125;0.03125;0.015625;Dia;0.0;NO USO;1;0.03125
TablaControl;aaaTablaControl_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.195312;0.03125;0.015625;Control_Ano,Control_Mes,Control_TipoProceso,Control_TipoRemun,Control_Id_Haber,SueldoDesde,SueldoHasta;0.0;NO USO;7;0.03125
TablaControl;Control_Ano;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Control_Ano;0.0;NO USO;1;0.03125
PermisosPost_Natal;aaaPermisosPost_Natal_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.023437;0.023437;0.007812;Id_Establecimiento,Id_Funcionario,Tipo_Permiso,Fecha_Evento,Correlativo;0.0;NO USO;5;0.023437
PermisosPost_Natal;ID_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO;1;0.023437
PermisosPost_Natal_Otorgados;aaaPermisosPost_Natal_Otorgados_PK;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.023437;0.023437;0.007812;Id_Establecimiento,Id_Funcionario,Tipo_Permiso,Fecha_Evento;0.0;NO USO;4;0.023437
PermisosPost_Natal_Otorgados;ID_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO;1;0.023437
AguinaldoTemporal;aaaaaAguinaldoTemporal_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.054687;Id_Establecimiento,Id_Funcionario;0.0;NO USO;2;0.015625
AguinaldoTemporal;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.031250;Id_Establecimiento;0.0;NO USO;1;0.015625
AnexoPlandeCuenta;aaAnexoPlandeCuenta_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.015625;Ano_Proceso,Mes_Proceso,Codigo_Area,CodigoCuenta;0.0;NO USO;4;0.015625
AnexoPlandeCuenta;Ano_Proceso;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Ano_Proceso;0.0;NO USO;1;0.015625
Anotaciones;aaaaaAnotaciones_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario,Id_Establecimiento,Id_TipoAnotacion,Id_Merito_Demerito;0.0;NO USO;4;0.015625
Anotaciones;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario;0.0;NO USO;1;0.015625
Bienios_Cumplidos;aaaaaBienios_Cumplidos_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario,Mes_Proceso,Ano_Proceso;0.0;NO USO;3;0.015625
Bienios_Cumplidos;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario;0.0;NO USO;1;0.015625
CCAF_LosAndes;aaCCAF_LosAndes_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.0;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes,Correlativo;0.0;NO USO;5;0.015625
CCAF_LosAndes;K1_Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;K1_Id_Establecimiento;0.0;NO USO;1;0.015625
CCAF_LosAndes_DepositosConvenidos;aaCCAF_LosAndes_DepositosConvenidos_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.0;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes,Correlativo;0.0;NO USO;5;0.015625
CCAF_LosAndes_DepositosConvenidos;K1_Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;K1_Id_Establecimiento;0.0;NO USO;1;0.015625
Capacitacion;aaaaaCapacitacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut_Funcionario,Id_Capacitacion;0.0;NO USO;2;0.015625
Capacitacion;Rut_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut_Funcionario;0.0;NO USO;1;0.015625
CometidoFuncionario;aaaaaCometidoFuncionario_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Cometido;0.0;NO USO;3;0.015625
CometidoFuncionario;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO;1;0.015625
HistoricoCheques;aaaaaHistoricoCheques_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;ID_Numero,Mes,Ano;0.0;NO USO;3;0.015625
HistoricoCheques;ID_Numero;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;ID_Numero;0.0;NO USO;1;0.015625
HistoricoMutual;aaaHistoricoMutual_PK;NONCLUSTERED;1;1;1.0;0.0;0.0;1.0;2026-06-04 09:11:44.857;;0.015625;0.015625;0.007812;Mes,Ano;1.0;Beneficio Busqueda;2;0.015625
HistoricoMutual;Mes;NONCLUSTERED;0;0;0.0;0.0;0.0;1.0;;;0.015625;0.015625;0.007812;Mes;0.0;SIN BUSQUEDAS;1;0.015625
