TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
Calificacion;Periodo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Periodo;0.0;NO USO
Capacitacion;aaaaaCapacitacion_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut_Funcionario,Id_Capacitacion;0.0;NO USO
Capacitacion;Id_Capacitacion;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Id_Capacitacion;0.0;NO USO
Capacitacion;Rut_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut_Funcionario;0.0;NO USO
CargaDescuentosVarios_Aviso;aaaaaCargaDescuentosVarios_Aviso_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;1.382812;1.273437;1.257812;Rut,Mes,Ano,Tipo_Hd,Id_Hd;0.0;NO USO
CargaPagosLicencia;FechaInicio;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;FechaInicio;0.0;NO USO
CargaPagosLicencia;FechaTermino;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;FechaTermino;0.0;NO USO
CargaPagosLicencia;NLicencia;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;NLicencia;0.0;NO USO
CargaPagosLicencia;Rut;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut;0.0;NO USO
CargaPagosLicencia_Aviso;NLicencia;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;NLicencia;0.0;NO USO
CargaPagosLicencia_Aviso;Rut;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.070312;0.015625;0.007812;Rut;0.0;NO USO
CargasRetroactivas;aaaaaCargasRetroactivas_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.210937;0.132812;0.187500;Id_Establecimiento,Id_Funcionario,Id_Carga_Retro;0.0;NO USO
CargasRetroactivas;Id_Carga_Retro;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.164062;0.117187;0.132812;Id_Carga_Retro;0.0;NO USO
